mes,year,hora,activity,sex,fatal,species
6,2018,tarde,paddeling,F,N,white shark
6,2018,tarde,fishing,F,N,unknown shark
6,2018,mañana,surfing,M,N,unknown shark
6,2018,unknown,surfing,M,N,other shark
6,2018,unknown,diving,M,N,tiger shark
6,2018,unknown,surfing,M,N,unknown shark
6,2018,tarde,other,M,Y,tiger shark
5,2018,unknown,fishing,M,N,other shark
5,2018,tarde,fishing,M,N,bull shark
5,2018,tarde,fishing,M,N,unknown shark
5,2018,mañana,other,M,N,reef shark
5,2018,unknown,surfing,M,N,unknown shark
5,2018,tarde,other,M,N,unknown shark
5,2018,mañana,fishing,M,N,unknown shark
0,2018,unknown,other,F,N,other shark
5,2018,mañana,surfing,M,N,unknown shark
5,2018,mañana,surfing,M,N,unknown shark
4,2018,unknown,other,M,N,unknown shark
4,2018,mañana,diving,M,N,tiger shark
4,2018,tarde,surfing,M,N,unknown shark
4,2018,mañana,surfing,M,N,other shark
4,2018,mañana,surfing,M,N,other shark
4,2018,tarde,surfing,M,N,white shark
4,2018,noche,fishing,M,N,tiger shark
4,2018,mañana,paddeling,M,N,white shark
4,2018,unknown,surfing,M,N,other shark
4,2018,unknown,other,M,N,bull shark
4,2018,unknown,other,M,U,unknown shark
4,2018,unknown,surfing,M,N,unknown shark
4,2018,mañana,surfing,M,N,unknown shark
4,2018,mañana,surfing,M,N,tiger shark
4,2018,unknown,fishing,M,N,unknown shark
4,2018,tarde,surfing,u,N,other shark
4,2018,tarde,other,M,N,bull shark
4,2018,tarde,surfing,M,N,white shark
3,2018,mañana,surfing,M,N,tiger shark
3,2018,tarde,other,M,N,other shark
3,2018,tarde,other,M,N,other shark
3,2018,mañana,surfing,M,N,other shark
2,2018,unknown,diving,M,N,other shark
2,2018,noche,other,F,N,white shark
2,2018,unknown,fishing,M,N,unknown shark
2,2018,tarde,fishing,M,N,bull shark
2,2018,tarde,other,F,N,other shark
2,2018,unknown,fishing,F,N,other shark
2,2018,unknown,diving,M,N,other shark
2,2018,unknown,fishing,M,N,other shark
1,2018,mañana,other,M,N,bull shark
1,2018,tarde,fishing,M,N,bull shark
1,2018,tarde,diving,M,N,reef shark
1,2018,unknown,diving,M,N,white shark
1,2018,tarde,surfing,M,N,other shark
1,2018,unknown,surfing,M,N,other shark
12,2017,tarde,surfing,F,N,tiger shark
12,2017,tarde,surfing,F,N,unknown shark
12,2017,unknown,other,M,N,other shark
12,2017,unknown,diving,F,N,other shark
11,2017,unknown,diving,M,N,tiger shark
11,2017,unknown,diving,F,Y,tiger shark
11,2017,unknown,sailing,u,Y,other shark
11,2017,tarde,fishing,M,N,white shark
11,2017,tarde,surfing,F,N,unknown shark
11,2017,unknown,surfing,M,N,unknown shark
11,2017,tarde,surfing,M,N,other shark
11,2017,noche,other,M,Y,tiger shark
10,2017,unknown,diving,M,N,other shark
10,2017,mañana,surfing,M,N,other shark
10,2017,tarde,surfing,M,N,unknown shark
10,2017,tarde,other,M,N,unknown shark
10,2017,tarde,surfing,M,N,unknown shark
10,2017,mañana,other,F,N,unknown shark
10,2017,tarde,fishing,F,N,white shark
10,2017,mañana,sailing,M,N,other shark
10,2017,tarde,other,M,N,spinner shark
10,2017,tarde,surfing,M,N,tiger shark
10,2017,tarde,diving,F,N,other shark
10,2017,unknown,diving,M,U,other shark
9,2017,mañana,surfing,M,N,other shark
9,2017,tarde,surfing,M,N,white shark
9,2017,tarde,surfing,M,U,other shark
9,2017,tarde,surfing,M,N,other shark
9,2017,mañana,surfing,M,N,unknown shark
9,2017,unknown,surfing,M,N,other shark
9,2017,tarde,surfing,M,N,unknown shark
9,2017,tarde,diving,M,U,unknown shark
9,2017,unknown,fishing,M,N,unknown shark
9,2017,unknown,fishing,u,N,white shark
9,2017,tarde,surfing,M,N,other shark
9,2017,tarde,other,M,N,unknown shark
9,2017,mañana,surfing,M,N,white shark
9,2017,unknown,fishing,M,N,unknown shark
9,2017,mañana,other,M,Y,unknown shark
9,2017,mañana,surfing,M,N,unknown shark
9,2017,unknown,other,M,N,other shark
9,2017,unknown,other,F,N,unknown shark
9,2017,mañana,surfing,M,N,unknown shark
8,2017,mañana,surfing,M,N,white shark
8,2017,tarde,other,F,N,unknown shark
8,2017,unknown,other,F,U,other shark
8,2017,unknown,sailing,M,N,unknown shark
8,2017,mañana,other,M,N,white shark
8,2017,tarde,fishing,M,N,other shark
8,2017,tarde,other,M,N,other shark
8,2017,unknown,diving,F,N,white shark
8,2017,noche,fishing,M,N,other shark
8,2017,mañana,fishing,M,N,white shark
7,2017,tarde,surfing,M,N,unknown shark
7,2017,tarde,other,M,U,other shark
7,2017,tarde,other,F,N,unknown shark
7,2017,unknown,diving,F,N,unknown shark
7,2017,unknown,fishing,M,N,unknown shark
7,2017,tarde,surfing,M,N,unknown shark
7,2017,unknown,other,F,N,tiger shark
7,2017,tarde,other,F,N,other shark
7,2017,tarde,other,F,N,other shark
7,2017,unknown,other,F,U,unknown shark
7,2017,mañana,sailing,M,N,white shark
7,2017,mañana,other,M,N,white shark
7,2017,tarde,surfing,M,N,white shark
7,2017,mañana,surfing,M,N,unknown shark
7,2017,mañana,sailing,M,N,white shark
